Nama Kegiatan,Kode,Predecessor,Durasi,ES,EF,LS,LF,Slack,Lintasan
Penggantian UI,A,-,4.166666666666667,0.0,4.166666666666667,29.333333333333325,33.49999999999999,29.333333333333325,-
"Repository Karya, Hasil Penelitian, dan Pengabdian",B,A,7.333333333333333,4.166666666666667,11.5,33.49999999999999,40.83333333333333,29.33333333333333,-
API,C,B,3.1666666666666665,11.5,14.666666666666666,40.83333333333333,43.99999999999999,29.33333333333333,-
Biodata dan Integrasi SSO Siakad,D,C,7.333333333333333,14.666666666666666,22.0,43.99999999999999,51.33333333333333,29.33333333333333,-
Roadmap penelitian,E,D,7.333333333333333,22.0,29.333333333333332,51.33333333333333,58.666666666666664,29.333333333333332,-
Rekam jejak penelitian,F,E,7.333333333333333,29.333333333333332,36.666666666666664,58.666666666666664,66.0,29.333333333333336,-
Dokumentasi,G,A,4.166666666666667,4.166666666666667,8.333333333333334,61.833333333333336,66.0,57.666666666666664,-
Isi Pulsa,H,-,2.1666666666666665,0.0,2.1666666666666665,63.833333333333336,66.0,63.833333333333336,-
Konfigurasi tugas harian,I,-,7.333333333333333,0.0,7.333333333333333,18.83333333333333,26.16666666666666,18.83333333333333,-
Konfigurasi tugas tambahan,J,I,7.333333333333333,7.333333333333333,14.666666666666666,26.16666666666666,33.49999999999999,18.83333333333333,-
Konfigurasi PIC,K,J,7.333333333333333,14.666666666666666,22.0,33.49999999999999,40.83333333333333,18.83333333333333,-
Konfigurasi deadline pekerjaan,L,K,7.333333333333333,22.0,29.333333333333332,40.83333333333333,48.166666666666664,18.833333333333332,-
Monitoring tugas dan status pekerjaan,M,L,7.333333333333333,29.333333333333332,36.666666666666664,48.166666666666664,55.5,18.833333333333336,-
Monitoring dokumen hasil pekerjaan,N,M,7.333333333333333,36.666666666666664,44.0,55.5,62.833333333333336,18.833333333333336,-
API,O,N,3.1666666666666665,44.0,47.166666666666664,62.833333333333336,66.0,18.833333333333336,-
Dokumentasi,P,I,4.166666666666667,7.333333333333333,11.5,61.833333333333336,66.0,54.5,-
Sistem tersentralisasi,Q,-,7.333333333333333,0.0,7.333333333333333,58.666666666666664,66.0,58.666666666666664,-
Presensi pegawai,R,-,7.333333333333333,0.0,7.333333333333333,1.7763568394002505e-15,7.333333333333335,1.7763568394002505e-15,-
Geofencing,S,R,7.333333333333333,7.333333333333333,14.666666666666666,7.333333333333335,14.666666666666668,1.7763568394002505e-15,-
Tagging,T,S,7.333333333333333,14.666666666666666,22.0,14.666666666666668,22.0,0.0,Kritis
Integrasi dengan sihrd,U,T,7.333333333333333,22.0,29.333333333333332,22.0,29.333333333333332,0.0,Kritis
Integrasi dengan sistem monitoring pekerjaan,V,U,7.333333333333333,29.333333333333332,36.666666666666664,29.333333333333332,36.666666666666664,0.0,Kritis
Integrasi siakad,W,V,7.333333333333333,36.666666666666664,44.0,36.666666666666664,44.0,0.0,Kritis
Absensi mahasiswa,X,W,7.333333333333333,44.0,51.333333333333336,44.0,51.333333333333336,0.0,Kritis
Jurnal mengajar online,Y,X,7.333333333333333,51.333333333333336,58.66666666666667,51.333333333333336,58.66666666666667,0.0,Kritis
Export jurnal mengajar,Z,Y,3.1666666666666665,58.66666666666667,61.833333333333336,58.66666666666667,61.833333333333336,0.0,Kritis
Laporan presensi,AA,Z,4.166666666666667,61.833333333333336,66.0,61.833333333333336,66.0,0.0,Kritis
